Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83985;07/06/1962;0000;;15.2;;;0.8;9.7;86.5;2;
83985;07/06/1962;1200;0;;2.3;;;;;;
83985;08/06/1962;0000;;13.9;;;0.3;11.06;95.75;4;
83985;08/06/1962;1200;0;;5.6;;;;;;
83985;09/06/1962;0000;;13.1;;;0.5;10.1;93;8;
83985;09/06/1962;1200;0;;6.2;;;;;;
83985;10/06/1962;0000;;15.9;;;1;10.2;83.75;7.333333;
83985;10/06/1962;1200;0;;4.5;;;;;;
83985;11/06/1962;0000;;18.1;;;3.1;10.78;83.25;8.666667;
83985;11/06/1962;1200;0;;3.6;;;;;;
83985;12/06/1962;0000;;16.9;;;1.1;9.6;89.75;3.333333;
83985;12/06/1962;1200;0;;2.4;;;;;;
83985;13/06/1962;0000;;17.4;;;2;9.86;90.5;4;
83985;13/06/1962;1200;0;;2.4;;;;;;
83985;14/06/1962;0000;;16.2;;;0.9;9.76;94.5;2.666667;
83985;14/06/1962;1200;0;;4.5;;;;;;
83985;15/06/1962;0000;;17.4;;;0.6;10.02;92.25;2;
83985;15/06/1962;1200;0;;4.3;;;;;;
83985;16/06/1962;0000;;18.2;;;1.4;10.54;90.75;4.666667;
83985;16/06/1962;1200;0;;6.3;;;;;;
83985;17/06/1962;0000;;23.6;;;0.7;12.94;84.75;0.666667;
83985;17/06/1962;1200;0;;6.4;;;;;;
83985;18/06/1962;0000;;25.3;;;1.7;12.88;80;1.333333;
83985;18/06/1962;1200;0;;6.3;;;;;;
83985;19/06/1962;0000;;27;;;3.4;16.68;70.5;3.333333;
83985;19/06/1962;1200;0;;7.7;;;;;;
83985;20/06/1962;0000;;20.4;;;6.5;17.36;71.25;4.666667;
83985;20/06/1962;1200;0;;12.2;;;;;;
83985;21/06/1962;0000;;18.8;;;0.7;10.94;71;8;
83985;21/06/1962;1200;0;;7.7;;;;;;
83985;22/06/1962;0000;;15.3;;;1;6.9;86.25;6;
83985;22/06/1962;1200;0;;1;;;;;;
83985;23/06/1962;0000;;16.1;;;0.9;6.88;93.25;4;
83985;23/06/1962;1200;0;;-1.7;;;;;;
83985;24/06/1962;0000;;14.8;;;1.8;7.44;97.5;2.666667;
83985;24/06/1962;1200;0;;-1.6;;;;;;
83985;25/06/1962;0000;;20.1;;;1.3;14.1;88.25;3.333333;
83985;25/06/1962;1200;0;;9.7;;;;;;
83985;26/06/1962;0000;;29.2;;;5;19.76;80.75;1.333333;
83985;26/06/1962;1200;0;;14.1;;;;;;
83985;27/06/1962;0000;;30.1;;;3.1;23.96;50;3.333333;
83985;27/06/1962;1200;0;;14.1;;;;;;
83985;28/06/1962;0000;;30.4;;;2.6;21.76;62.25;2.666667;
83985;28/06/1962;1200;0;;16;;;;;;
83985;29/06/1962;0000;;29.2;;;3.3;21.98;58;4.666667;
83985;29/06/1962;1200;0;;15.8;;;;;;
83985;30/06/1962;0000;;27.2;;;5;18.72;77.75;4.666667;
83985;30/06/1962;1200;0;;14.4;;;;;;
83985;01/07/1962;0000;;15.2;;;3.5;13.04;96.5;1.333333;
83985;01/07/1962;1200;16;;11.5;;;;;;
83985;02/07/1962;0000;;13.6;;;0.6;12.68;95.75;3.333333;
83985;02/07/1962;1200;32.4;;11.5;;;;;;
83985;03/07/1962;0000;;14.4;;;0.1;13.26;90.25;3.333333;
83985;03/07/1962;1200;27.1;;12;;;;;;
83985;04/07/1962;0000;;16;;;0.5;12.08;81;8;
83985;04/07/1962;1200;8;;8.5;;;;;;
83985;05/07/1962;0000;;13;;;3;10.38;78.5;2.666667;
83985;05/07/1962;1200;0;;7.2;;;;;;
83985;06/07/1962;0000;;15.5;;;1.2;11.02;92.5;6.666667;
83985;06/07/1962;1200;1;;7.2;;;;;;
83985;07/07/1962;0000;;15.5;;;0.2;10.12;77.75;2;
83985;07/07/1962;1200;0;;7.2;;;;;;
83985;08/07/1962;0000;;16.2;;;1;10.12;88.25;2.666667;
83985;08/07/1962;1200;0;;4.9;;;;;;
83985;09/07/1962;0000;;17.8;;;0.2;14.42;94;0;
83985;09/07/1962;1200;0;;13;;;;;;
83985;10/07/1962;0000;;14.2;;;0.6;12.08;95.75;8;
83985;10/07/1962;1200;0;;11.3;;;;;;
83985;11/07/1962;0000;;21.5;;;0.3;12.86;84;0;
83985;11/07/1962;1200;0;;8;;;;;;
83985;12/07/1962;0000;;20.3;;;2.2;11.88;80.5;3.333333;
83985;12/07/1962;1200;0;;6.8;;;;;;
83985;13/07/1962;0000;;16.8;;;1.4;11.16;89;0;
83985;13/07/1962;1200;0;;4.8;;;;;;
83985;14/07/1962;0000;;15.2;;;0.8;12.48;97;0;
83985;14/07/1962;1200;0;;8.1;;;;;;
83985;15/07/1962;0000;;15.6;;;0.4;10.82;90;7.333333;
83985;15/07/1962;1200;9.8;;8.4;;;;;;
83985;16/07/1962;0000;;13.8;;;1.4;9;84.75;8.666667;
83985;16/07/1962;1200;0;;5.8;;;;;;
83985;17/07/1962;0000;;13.2;;;2.7;7.76;74;7.333333;
83985;17/07/1962;1200;0;;4.8;;;;;;
83985;18/07/1962;0000;;18;;;3.5;10.84;84.25;4;
83985;18/07/1962;1200;0;;8.3;;;;;;
83985;19/07/1962;0000;;18;;;2;8.14;72.5;4;
83985;19/07/1962;1200;0;;1.9;;;;;;
83985;20/07/1962;0000;;13.7;;;5.1;4.96;76.75;1.333333;
83985;20/07/1962;1200;0;;-2;;;;;;
83985;21/07/1962;0000;;17.2;;;1.8;7.54;87;0.666667;
83985;21/07/1962;1200;0;;0.5;;;;;;
83985;22/07/1962;0000;;15.8;;;1.5;10.02;67.75;5.333333;
83985;22/07/1962;1200;0;;5.6;;;;;;
83985;23/07/1962;0000;;14.2;;;1.6;8.72;81.5;6.666667;
83985;23/07/1962;1200;0;;5.6;;;;;;
83985;24/07/1962;0000;;17.2;;;2.2;9.28;71.25;4;
83985;24/07/1962;1200;0;;1.9;;;;;;
83985;25/07/1962;0000;;15.5;;;1.4;10.04;90.25;3.333333;
83985;25/07/1962;1200;1.2;;2;;;;;;
83985;26/07/1962;0000;;18.8;;;1.3;11.86;73.25;4;
83985;26/07/1962;1200;0;;6.4;;;;;;
83985;27/07/1962;0000;;16.8;;;1.8;11.4;81.25;4;
83985;27/07/1962;1200;0;;7.4;;;;;;
